city,latitude,longitude,id
Montgomery,32.3777,-86.3,1
Juneau,58.3019,-134.4197,2
Phoenix,33.4484,-112.074,3
Little Rock,34.7465,-92.2896,4
Sacramento,38.5816,-121.4944,5
Denver,39.7392,-104.9903,6
Hartford,41.7658,-72.6734,7
Dover,39.1582,-75.5244,8
Tallahassee,30.4383,-84.2807,9
Atlanta,33.749,-84.388,10
Honolulu,21.3069,-157.8583,11
Boise,43.615,-116.2023,12
Springfield,39.7817,-89.6501,13
Indianapolis,39.7684,-86.1581,14
Des Moines,41.5868,-93.625,15
Topeka,39.0489,-95.6779,16
Frankfort,38.2009,-84.8733,17
Baton Rouge,30.4515,-91.1871,18
Augusta,44.3106,-69.7795,19
Annapolis,38.9784,-76.4922,20
Boston,42.3601,-71.0589,21
Lansing,42.7325,-84.5555,22
Saint Paul,44.9537,-93.09,23
Jackson,32.2988,-90.1848,24
Jefferson City,38.5767,-92.1735,25
Helena,46.5891,-112.0391,26
Lincoln,40.8136,-96.7026,27
Carson City,39.1638,-119.7674,28
Concord,43.2081,-71.5376,29
Trenton,40.2206,-74.7597,30
Santa Fe,35.687,-105.9378,31
Albany,42.6526,-73.7562,32
Raleigh,35.7796,-78.6382,33
Bismarck,46.8083,-100.7837,34
Columbus,39.9612,-82.9988,35
Oklahoma City,35.4676,-97.5164,36
Salem,44.9429,-123.0351,37
Harrisburg,40.2732,-76.8867,38
Providence,41.824,-71.4128,39
Columbia,34.0007,-81.0348,40
Pierre,44.3683,-100.351,41
Nashville,36.1627,-86.7816,42
Austin,30.2672,-97.7431,43
Salt Lake City,40.7608,-111.891,44
Montpelier,44.2601,-72.5754,45
Richmond,37.5407,-77.436,46
Olympia,47.0379,-122.9007,47
Charleston,38.3498,-81.6326,48
Madison,43.0731,-89.4012,49
Cheyenne,41.14,-104.8202,50
Washington,38.9072,-77.0369,51
